2026-08-17 15:47:57.936: File Name: 20260817-2.tsv
2026-08-17 15:47:57.936: 
Date	Order No	Product No	Lot or Serial	Test group	Test name	Excel file	Sheet name	Line	Module	Command	Parameters	Response	Elapsed seconds
08:49:38.126				AllCommon	Init	AllCommon	Init	4	FinsUdp	Init	"CJ2M", "192.168.250.1", "9600", "0.1.0", "0.2.0", "1000", "1000", "1"	"0"	0.0156103
08:49:38.282				AllCommon	Init	AllCommon	Init	5	CommonUtility	Sleep	"500"	"0"	0.5155051
08:49:38.892				AllCommon	Init	AllCommon	Init	6	PortUtility	InitAsRs232c	"DMM", "COM8", "9600", "8", "1", "", "", "", "", "1000", "1000", "CR"	"0"	0
08:49:38.892				AllCommon	Init	AllCommon	Init	7	InstekPswPower	Initialize	"PS1", "192.168.250.2", "1000", "1000", "", "", ""	"0"	0
08:49:38.892				AllCommon	Init	AllCommon	Init	8	InstekPswPower	Initialize	"PS2", "192.168.250.3", "1000", "1000", "", "", ""	"0"	0
08:49:38.892				AllCommon	Init	AllCommon	Init	9	PortUtility	InitAsRs232c	"RR", "COM1", "9600", "7", "2", "EVEN", "", "", "", "1000", "1000", "CR"	"0"	0
08:49:38.892				AllCommon	Init	AllCommon	Init	11	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "0", "START_SW"	"0"	0.0156215
08:49:38.907				AllCommon	Init	AllCommon	Init	12	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "1", "STOP_SW"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	13	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "2", "CHECK_SW"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	14	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "3", "232 485 "	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	15	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "4", "N型CP上到位"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	16	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "5", "ES型CP上到位"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	17	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "6", "上电到位确认"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	18	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "14", "DETECT_EUT"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	19	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "8", "FG导通"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	20	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "9", "ES型CP下到位"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	21	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "10", "大小肘夹到位"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	22	FinsUdp	DefineIO	"CJ2M", "CIO", "I", "0", "3", "232485到位确认"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	24	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "0", "START_LAMP"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	25	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "1", "CHECK_LAMP"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	26	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "2", "STOP_LAMP"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	27	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "3", "PASS_BZ"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	28	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "4", "电池电源通断"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	29	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "5", "DC 产品电源"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	30	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "6", "AC 产品电源"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	31	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "7", "DMM 485电阻检查"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	32	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "8", "DMM 产品电压检查"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	33	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "9", "DMM BVCC电压检查"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	34	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "10", "产品上电"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	35	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "11", "DMM BVCC放电电阻"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	36	FinsUdp	DefineIO	"CJ2M", "CIO", "O", "1", "12", "FG继电器"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	39	FinsUdp	Open	"CJ2M"	"0"	0
08:49:38.907				AllCommon	Init	AllCommon	Init	40	CommonUtility	Sleep	"1000"	"0"	1.0310074
08:49:40.079				AllCommon	Init	AllCommon	Init	41	FinsUdp	SetMonitorMode	"CJ2M"	"0"	0.0312433
08:49:40.110				AllCommon	Init	AllCommon	Init	42	CommonUtility	Sleep	"500"	"0"	0.5155041
08:49:40.750				AllCommon	Init	AllCommon	Init	43	FinsUdp	SetProgramMode	"CJ2M"	"0"	0.0468645
08:49:40.797				AllCommon	Init	AllCommon	Init	44	CommonUtility	Sleep	"500"	"0"	0.5311249
08:49:41.453				AllCommon	Init	AllCommon	Init	45	FinsUdp	Close	"CJ2M"	"0"	0
08:49:41.453				AllCommon	Init	AllCommon	Init	46	CommonUtility	Sleep	"500"	"0"	0.5155035
08:49:42.094				AllCommon	Init	AllCommon	Init	53	FinsUdp	WriteWords	"CJ2M", "CIO", "1", "0000"	"0"	0.0312426
08:49:42.125				AllCommon	Init	AllCommon	Init	56	CommonUtility	WriteText	"", ""	"0"	0
08:49:42.125				AllCommon	Init	AllCommon	Init	57	CommonUtility	WriteText	"<cell font="Calibri" size="11" foreground="FFFFFF" background="00B050" horizontal="center" vertical="distributed"><text font="Britannic Bold" size="36" foreground="FFFFFF">Global</text><text font="Britannic Bold" size="48" foreground="FFFFFF">\n</text><text font="Britannic Bold" size="36" foreground="FFFFFF">Tester</text><text font="Calibri" size="11" foreground="FFFFFF">\n</text><text font="Calibri" size="20" foreground="FFFFFF">読取品番</text><text font="Calibri" size="20" foreground="FFFFFF">、\n開始検査</text><text font="Calibri" size="20" foreground="FFFFFF">。</text></cell>", ""	"0"	0.015622
08:49:54.813	1234567-8	2222222-2	22219M	CommonCP2E_HD	OnProductNoChanged	CommonCP2E_HD	OnProductNoChanged	4	CommonUtility	WriteText	"<cell font="ＭＳ Ｐゴシック" size="18" foreground="44ACCC" horizontal="center" vertical="distributed" bold="true"><text>放入</text><text font="FangSong" size="18" foreground="44ACCC" bold="true">产品</text></cell>", ""	"0"	0.0009979
08:50:18.257	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	4	CommonUtility	Sleep	"100"	"0"	0.1093483
08:50:18.585	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	6	FinsUdp	OutputPort	"STOP_LAMP", "1"	"0"	0.0312427
08:50:18.616	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	7	FinsUdp	InputPort	"DETECT_EUT"	"0,1"	0.0312425
08:50:18.710	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	9	CommonUtility	Sleep	"1000"	"0"	1.0153863
08:50:19.912	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	10	FinsUdp	WriteBits	"CJ2M", "CIO", "1", "13", "1"	"0"	0.0312427
08:50:19.944	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	11	CommonUtility	Sleep	"100"	"0"	0.1093492
08:50:20.241	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	12	FinsUdp	WriteBits	"CJ2M", "CIO", "1", "13", "0"	"0"	0.0312427
08:50:20.272	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	13	CommonUtility	Sleep	"100"	"0"	0.1093492
08:50:20.569	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	16	CommonUtility	Sleep	"100"	"0"	0.1093487
08:50:20.740	1234567-8	2222222-2	22219M	CommonCP2E_HD	Init	CommonCP2E_HD	Init	17	FinsUdp	WriteBits	"CJ2M", "CIO", "1", "14", "1"	"0"	0.0312426
08:50:20.865	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	3	CommonUtility	WriteText	"<cell font="Calibri" size="14" foreground="F79646" background="D7E4BD" horizontal="center" vertical="top" bold="true" italic="true"><text>电池电流</text></cell>", ""	"0"	0
08:50:20.865	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	5	InstekPswPower	TurnOff	"PS1"	"0"	0.0156181
08:50:20.881	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	6	CommonUtility	Sleep	"500"	"0"	0.5155052
08:50:21.521	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	7	FinsUdp	OutputPort	"DMM BVCC放电电阻", "1"	"0"	0.0312426
08:50:21.553	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	8	CommonUtility	Sleep	"10000"	"0"	10.1538688
08:50:31.832	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	9	FinsUdp	OutputPort	"DMM BVCC放电电阻", "0"	"0"	0.0312425
08:50:31.863	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	10	CommonUtility	Sleep	"500"	"0"	0.5155035
08:50:32.503	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	11	FinsUdp	OutputPort	"电池电源通断", "1"	"0"	0.0312428
08:50:32.535	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	12	CommonUtility	Sleep	"500"	"0"	0.5155033
08:50:33.175	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	13	InstekPswPower	SetVolt	"PS1", "3"	"0"	0
08:50:33.175	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	14	InstekPswPower	TurnOn	"PS1"	"0"	0
08:50:33.175	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	15	CommonUtility	Sleep	"3000"	"0"	3.0461601
08:50:36.346	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	16	PortUtility	WriteReadLine	"DMM", "MEAS:CURR:DC?0.1", "5000"	"0,+1.44000051E-06"	5.0769343
08:50:41.486	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	19	InstekPswPower	TurnOff	"PS1"	"0"	0
08:50:41.486	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	20	CommonUtility	Sleep	"500"	"0"	0.5311261
08:50:42.142	1234567-8	2222222-2	22219M	电池电流	电池电流	电池电流	电池电流	21	FinsUdp	OutputPort	"电池电源通断", "0"	"0"	0.0312429
08:50:42.204	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	3	CommonUtility	WriteText	"<cell font="Calibri" size="14" foreground="F79646" background="D7E4BD" horizontal="center" vertical="top" bold="true" italic="true"><text>电池电压</text></cell>", ""	"0"	0
08:50:42.204	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	5	InstekPswPower	TurnOff	"PS1"	"0"	0
08:50:42.204	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	6	CommonUtility	Sleep	"500"	"0"	0.5311238
08:50:42.860	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	7	FinsUdp	OutputPort	"DMM BVCC放电电阻", "1"	"0"	0.0312427
08:50:42.891	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	8	CommonUtility	Sleep	"10000"	"0"	10.1382471
08:50:53.155	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	9	FinsUdp	OutputPort	"DMM BVCC放电电阻", "0"	"0"	0.0312426
08:50:53.186	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	10	CommonUtility	Sleep	"500"	"0"	0.5155035
08:50:53.826	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	11	FinsUdp	OutputPort	"电池电源通断", "1"	"0"	0.0312427
08:50:53.858	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	12	CommonUtility	Sleep	"500"	"0"	0.5155034
08:50:54.498	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	13	InstekPswPower	SetVolt	"PS1", "3"	"0"	0
08:50:54.498	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	14	InstekPswPower	TurnOn	"PS1"	"0"	0
08:50:54.498	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	15	CommonUtility	Sleep	"2000"	"0"	2.0463943
08:50:56.669	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	16	FinsUdp	OutputPort	"DMM BVCC电压检查", "1"	"0"	0.0312426
08:50:56.701	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	17	CommonUtility	Sleep	"500"	"0"	0.5155034
08:50:57.341	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	18	PortUtility	WriteReadLine	"DMM", "MEAS:VOLT:DC? 100", "1000"	"0,
+2.83309436E+00"	1.0778722
08:50:58.482	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	21	CommonUtility	Sleep	"1000"	"0"	1.0310074
08:50:59.638	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	22	FinsUdp	OutputPort	"DMM BVCC电压检查", "0"	"0"	0.0312426
08:50:59.669	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	23	InstekPswPower	TurnOff	"PS1"	"0"	0
08:50:59.669	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	24	CommonUtility	Sleep	"500"	"0"	0.5155033
08:51:00.309	1234567-8	2222222-2	22219M	电池电压	电池电压	电池电压	电池电压	25	FinsUdp	OutputPort	"电池电源通断", "0"	"0"	0.0312424
